wave_peak	wave_base	wave_top	note
558.62690	558.59582	558.64482	Fe 1
558.67603	558.64482	558.70382	Fe 1
558.75709	558.73482	558.76982	Fe 1
559.22035	559.17382	559.24782	Fe 1
560.01366	559.97182	560.05182	Fe 1
561.16766	561.14882	561.20782	Fe 1
561.53037	561.50082	561.54282	Fe 1
561.56434	561.54282	561.65182	Fe 1
561.86300	561.81882	561.88882	Fe 1
561.95964	561.93782	561.98382	Fe 1
562.04729	562.02082	562.09382	Fe 1
562.40273	562.33782	562.42282	Fe 1
562.45419	562.42282	562.50582	Fe 1
562.75024	562.73082	562.78882	Fe 2
563.17277	563.14582	563.22382	Fe 1
563.39433	563.34682	563.44182	Fe 1
563.58219	563.55682	563.60182	Fe 1
563.82626	563.79082	563.85382	Fe 1
564.03300	563.99382	564.07182	Fe 1
564.14343	564.12282	564.16582	Fe 1
564.40278	564.35682	564.45682	Fe 1
564.58246	564.56982	564.63782	Fe 1
564.99843	564.98382	565.02282	Fe 1
565.06952	565.02282	565.11782	Fe 1
565.38662	565.29282	565.42482	Fe 1
565.51751	565.50082	565.53182	Fe 1
565.54927	565.53182	565.62882	Fe 1
565.87808	565.84282	565.93182	Fe 1
566.13422	566.11382	566.16782	Fe 1
566.25135	566.22882	566.27282	Fe 1
566.29287	566.27282	566.35382	Fe 1
566.75654	566.73382	566.79382	Fe 1
567.18221	567.13582	567.20882	Fe 1
567.90283	567.87482	567.95482	Fe 1
568.65261	568.62682	568.67582	Fe 1
569.14943	569.09082	569.20382	Fe 1
570.15374	570.13082	570.18182	Fe 1
570.54654	570.51282	570.57082	Fe 1
570.59912	570.57082	570.62582	Fe 1
570.70338	570.67282	570.74882	Fe 1
570.81056	570.78282	570.82082	Fe 1
570.94077	570.90782	570.97782	Fe 1
571.21310	571.20082	571.25482	Fe 1
571.78308	571.74982	571.80682	Fe 1
573.17624	573.15482	573.19382	Fe 1
574.18488	574.15282	574.24282	Fe 1
574.39352	574.36882	574.41282	Fe 1
574.79245	574.77982	574.81682	Fe 1
575.20300	575.17282	575.23882	Fe 1
575.31233	575.23882	575.33782	Fe 1
575.95284	575.93682	575.97382	Fe 1
576.03211	576.02082	576.05782	Fe 1
576.23953	576.19882	576.26682	Fe 1
576.29861	576.26682	576.33182	Fe 1
577.39913	577.36782	577.42682	Fe 1
577.50841	577.47882	577.54582	Fe 1
578.06495	578.04782	578.10082	Fe 1
578.46600	578.44282	578.48082	Fe 1
578.56612	578.54682	578.58882	Fe 1
579.39113	579.34482	579.41882	Fe 1
579.81749	579.80182	579.84382	Fe 1
580.40295	580.37982	580.41682	Fe 1
580.57824	580.55082	580.60482	Fe 1
580.67179	580.64582	580.69782	Fe 1
580.92148	580.87082	580.95882	Fe 1
597.53509	597.48982	597.56482	Fe 1*
597.67752	597.65582	597.75382	Fe 1
597.89170	597.87082	597.93882	Fe 1
598.36830	598.33982	598.40282	Fe 1
598.48192	598.44682	598.50782	Fe 1
598.70637	598.64382	598.75782	Fe 1*
599.13653	599.11082	599.16582	Fe 2
599.77210	599.72582	599.85982	Fe 1*
600.30099	600.27182	600.34682	Fe 1
600.79553	600.75382	600.82482	Fe 1
600.85561	600.82482	600.89982	Fe 1
602.01739	601.96082	602.10982	Fe 1
602.40582	602.31582	602.49082	Fe 1
602.70514	602.62082	602.74882	Fe 1
602.90485	602.87582	602.98682	Fe 1
604.19433	604.16582	604.21382	Fe 1
605.60090	605.56582	605.64482	Fe 1
605.72489	605.67982	605.74382	Fe 1
606.33116	606.30982	606.36982	Fe 1
606.54848	606.48782	606.66782	Fe 1
607.84890	607.81282	607.87582	Fe 1
607.90055	607.87582	607.93682	Fe 1
608.27156	608.25382	608.31882	Fe 1
608.41040	608.38582	608.47782	Fe 2
608.52509	608.47782	608.56482	Fe 1
609.36433	609.33682	609.40182	Fe 1
609.66619	609.61682	609.69282	Fe 1
610.21703	610.17482	610.24182	Fe 1
610.32199	610.29782	610.37382	Fe 1
610.73288	610.69282	610.75482	Fe 1
611.33116	611.30982	611.36082	Fe 2
612.79052	612.76082	612.85982	Fe 1
612.95888	612.93482	612.99082	Fe 1
613.66121	613.60282	613.68282	Fe 1
613.69898	613.68282	613.72082	Fe 1
613.76799	613.72082	613.81882	Fe 1
614.77534	614.73882	614.84282	Fe 2
614.92458	614.84282	614.95682	Fe 2
615.16142	615.05482	615.18882	Fe 1
615.67798	615.65182	615.71982	Fe 1
615.77280	615.74182	615.79582	Fe 1
616.53569	616.48782	616.56682	Fe 1
617.05128	617.01682	617.07782	Fe 1
617.33372	617.29582	617.35582	Fe 1
618.02026	617.99182	618.04782	Fe 1
618.79846	618.76482	618.85482	Fe 1
619.15543	619.13382	619.21082	Fe 1
620.03112	619.98482	620.10982	Fe 1
620.82125	620.75682	620.83782	Fe 1
621.34282	621.26682	621.37382	Fe 1
621.51597	621.48682	621.52982	Fe 1
621.54165	621.52982	621.60082	Fe 1
621.63597	621.60082	621.67582	Fe 1
621.92812	621.86182	621.97382	Fe 1
