wave_peak	wave_base	wave_top	note
532.85350	532.84159	532.88459	Fe 1
532.99874	532.98659	533.02259	Fe 1
533.26646	533.25159	533.27659	Fe 1
533.29057	533.27659	533.31359	Fe 1
533.77463	533.75659	533.79559	Fe 2
533.99358	533.96359	534.01459	Fe 1
534.10389	534.08159	534.12759	Fe 1
534.97461	534.96159	535.00159	Fe 1
535.33921	535.31859	535.36759	Fe 1
536.16150	536.13359	536.17859	Fe 1
536.28503	536.25659	536.32459	Fe 2
536.48789	536.46059	536.51959	Fe 1
536.54051	536.51959	536.55959	Fe 1
536.74738	536.71959	536.77159	Fe 1
536.99705	536.97259	537.02059	Fe 1
537.14942	537.10759	537.18559	Fe 1
537.37147	537.35359	537.39159	Fe 1
605.60087	605.57967	605.62667	Fe 1
606.54933	606.52667	606.57767	Fe 1
607.84968	607.81767	607.87467	Fe 1
607.90102	607.88167	607.92767	Fe 1
610.21818	610.18167	610.23967	Fe 1
610.32128	610.29967	610.34667	Fe 1
612.79122	612.76367	612.81167	Fe 1
613.66254	613.62568	613.68468	Fe 1
613.69991	613.68468	613.72268	Fe 1
613.77012	613.73968	613.79568	Fe 1
614.77823	614.74668	614.80368	Fe 2
614.92516	614.90668	614.95068	Fe 2
615.16253	615.14568	615.18868	Fe 1
615.77350	615.75068	615.79868	Fe 1
616.53664	616.51868	616.55468	Fe 1
617.05157	617.02968	617.08268	Fe 1
617.33413	617.31268	617.35868	Fe 1
618.02042	617.98968	618.05068	Fe 1
618.79986	618.77368	618.82068	Fe 1
619.15715	619.13568	619.18368	Fe 1
620.03196	619.99868	620.05468	Fe 1
621.34375	621.31768	621.36768	Fe 1
621.51408	621.49068	621.54268	Fe 1
621.92848	621.90668	621.94768	Fe 1
623.07353	623.03169	623.10269	Fe 1
623.26459	623.24269	623.28969	Fe 1
